
2024/01/10 (19:09:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/10 (19:09:00) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/10 (19:09:00) | DEBUG: Shared::init() : Initialized.

2024/01/10 (19:10:44) | ===> btop++ v.1.3.0
2024/01/10 (19:10:44) | INFO: Logger set to DEBUG
2024/01/10 (19:10:44) | DEBUG: Using locale en_US.UTF-8
2024/01/10 (19:10:44) | INFO: Running on /dev/pts/3
2024/01/10 (19:10:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/10 (19:10:45) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/10 (19:10:45) | DEBUG: Shared::init() : Initialized.

2024/01/10 (19:10:54) | ===> btop++ v.1.3.0
2024/01/10 (19:10:54) | INFO: Logger set to DEBUG
2024/01/10 (19:10:54) | DEBUG: Using locale en_US.UTF-8
2024/01/10 (19:10:54) | INFO: Running on /dev/pts/3
2024/01/10 (19:10:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/10 (19:10:54) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/10 (19:10:54) | DEBUG: Shared::init() : Initialized.

2024/01/11 (21:56:00) | ===> btop++ v.1.3.0
2024/01/11 (21:56:00) | INFO: Logger set to DEBUG
2024/01/11 (21:56:00) | DEBUG: Using locale en_US.UTF-8
2024/01/11 (21:56:00) | INFO: Running on /dev/pts/2
2024/01/11 (21:56:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/11 (21:56:00) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/11 (21:56:00) | DEBUG: Shared::init() : Initialized.

2024/01/13 (10:42:22) | ===> btop++ v.1.3.0
2024/01/13 (10:42:22) | INFO: Logger set to DEBUG
2024/01/13 (10:42:22) | DEBUG: Using locale en_US.UTF-8
2024/01/13 (10:42:22) | INFO: Running on /dev/pts/1
2024/01/13 (10:42:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/13 (10:42:23) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/13 (10:42:23) | DEBUG: Shared::init() : Initialized.

2024/01/13 (11:19:01) | ===> btop++ v.1.3.0
2024/01/13 (11:19:01) | INFO: Logger set to DEBUG
2024/01/13 (11:19:01) | DEBUG: Using locale en_US.UTF-8
2024/01/13 (11:19:01) | INFO: Running on /dev/pts/1
2024/01/13 (11:19:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/13 (11:19:02) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/13 (11:19:02) | DEBUG: Shared::init() : Initialized.

2024/01/13 (16:28:18) | ===> btop++ v.1.3.0
2024/01/13 (16:28:18) | INFO: Logger set to DEBUG
2024/01/13 (16:28:18) | DEBUG: Using locale en_US.UTF-8
2024/01/13 (16:28:18) | INFO: Running on /dev/pts/1
2024/01/13 (16:28:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/13 (16:28:19) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/13 (16:28:19) | DEBUG: Shared::init() : Initialized.

2024/01/15 (20:14:21) | ===> btop++ v.1.3.0
2024/01/15 (20:14:21) | INFO: Logger set to DEBUG
2024/01/15 (20:14:21) | DEBUG: Using locale en_US.UTF-8
2024/01/15 (20:14:21) | INFO: Running on /dev/pts/2
2024/01/15 (20:14:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/15 (20:14:21) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/15 (20:14:21) | DEBUG: Shared::init() : Initialized.

2024/01/15 (23:15:33) | ===> btop++ v.1.3.0
2024/01/15 (23:15:33) | INFO: Logger set to DEBUG
2024/01/15 (23:15:33) | DEBUG: Using locale en_US.UTF-8
2024/01/15 (23:15:33) | INFO: Running on /dev/pts/2
2024/01/15 (23:15:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/15 (23:15:33) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/15 (23:15:33) | DEBUG: Shared::init() : Initialized.

2024/01/15 (23:54:16) | ===> btop++ v.1.3.0
2024/01/15 (23:54:16) | INFO: Logger set to DEBUG
2024/01/15 (23:54:16) | DEBUG: Using locale en_US.UTF-8
2024/01/15 (23:54:16) | INFO: Running on /dev/pts/5
2024/01/15 (23:54:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/15 (23:54:16) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/15 (23:54:16) | DEBUG: Shared::init() : Initialized.

2024/01/16 (01:55:14) | ===> btop++ v.1.3.0
2024/01/16 (01:55:14) | INFO: Logger set to DEBUG
2024/01/16 (01:55:14) | DEBUG: Using locale en_US.UTF-8
2024/01/16 (01:55:14) | INFO: Running on /dev/pts/2
2024/01/16 (01:55:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/16 (01:55:16) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/16 (01:55:16) | DEBUG: Shared::init() : Initialized.

2024/01/17 (23:53:50) | ===> btop++ v.1.3.0
